parcelId,market,address,severity,missing,reason
081OD033,knoxville-tn,"KGIS parcel 081OD033, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA03801,knoxville-tn,"KGIS parcel 154FA03801, Knoxville, TN",3,ownerContact|pricing|buildability,
108AK001,knoxville-tn,"KGIS parcel 108AK001, Knoxville, TN",3,ownerContact|pricing|buildability,
107EL023,knoxville-tn,"KGIS parcel 107EL023, Knoxville, TN",3,ownerContact|pricing|buildability,
082HL008,knoxville-tn,"KGIS parcel 082HL008, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE005,knoxville-tn,"KGIS parcel 094CE005, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA033,knoxville-tn,"KGIS parcel 154FA033, Knoxville, TN",3,ownerContact|pricing|buildability,
081MS008,knoxville-tn,"KGIS parcel 081MS008, Knoxville, TN",3,ownerContact|pricing|buildability,
094DH020,knoxville-tn,"KGIS parcel 094DH020, Knoxville, TN",3,ownerContact|pricing|buildability,
082PE031,knoxville-tn,"KGIS parcel 082PE031, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE012,knoxville-tn,"KGIS parcel 094CE012, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE014,knoxville-tn,"KGIS parcel 094CE014, Knoxville, TN",3,ownerContact|pricing|buildability,
082HL009,knoxville-tn,"KGIS parcel 082HL009, Knoxville, TN",3,ownerContact|pricing|buildability,
081KM035,knoxville-tn,"KGIS parcel 081KM035, Knoxville, TN",3,ownerContact|pricing|buildability,
082IG021,knoxville-tn,"KGIS parcel 082IG021, Knoxville, TN",3,ownerContact|pricing|buildability,
154FB036,knoxville-tn,"KGIS parcel 154FB036, Knoxville, TN",3,ownerContact|pricing|buildability,
081KM037,knoxville-tn,"KGIS parcel 081KM037, Knoxville, TN",3,ownerContact|pricing|buildability,
154FB030,knoxville-tn,"KGIS parcel 154FB030, Knoxville, TN",3,ownerContact|pricing|buildability,
107EL024,knoxville-tn,"KGIS parcel 107EL024, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA062,knoxville-tn,"KGIS parcel 154FA062, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA061,knoxville-tn,"KGIS parcel 154FA061, Knoxville, TN",3,ownerContact|pricing|buildability,
082IB004,knoxville-tn,"KGIS parcel 082IB004, Knoxville, TN",3,ownerContact|pricing|buildability,
108AD017,knoxville-tn,"KGIS parcel 108AD017, Knoxville, TN",3,ownerContact|pricing|buildability,
082IB003,knoxville-tn,"KGIS parcel 082IB003, Knoxville, TN",3,ownerContact|pricing|buildability,
094DJ006,knoxville-tn,"KGIS parcel 094DJ006, Knoxville, TN",3,ownerContact|pricing|buildability,
107EL018,knoxville-tn,"KGIS parcel 107EL018, Knoxville, TN",3,ownerContact|pricing|buildability,
069LH031,knoxville-tn,"KGIS parcel 069LH031, Knoxville, TN",3,ownerContact|pricing|buildability,
094DA022,knoxville-tn,"KGIS parcel 094DA022, Knoxville, TN",3,ownerContact|pricing|buildability,
081EG021,knoxville-tn,"KGIS parcel 081EG021, Knoxville, TN",3,ownerContact|pricing|buildability,
